Team,Player_ID,Player_Name
ATL,bazemke01,Kent Bazemore
ATL,bembrde01,DeAndre' Bembry
ATL,caldejo01,José Calderón
ATL,delanma01,Malcolm Delaney
ATL,dunlemi02,Mike Dunleavy
ATL,hardati02,Tim Hardaway Jr.
ATL,howardw01,Dwight Howard
ATL,humphkr01,Kris Humphries
ATL,ilyaser01,Ersan İlyasova
ATL,kellyry01,Ryan Kelly
ATL,korveky01,Kyle Korver
ATL,millspa01,Paul Millsap
ATL,muscami01,Mike Muscala
ATL,nealga01,Gary Neal
ATL,pattela01,Lamar Patterson
ATL,princta02,Taurean Prince
ATL,schrode01,Dennis Schröder
ATL,scottmi01,Mike Scott
ATL,sefolth01,Thabo Sefolosha
ATL,tavarwa01,Edy Tavares
BOS,bradlav01,Avery Bradley
BOS,brownja02,Jaylen Brown
BOS,crowdja01,Jae Crowder
BOS,greenge01,Gerald Green
BOS,horfoal01,Al Horford
BOS,jacksde01,Demetrius Jackson
BOS,jerebjo01,Jonas Jerebko
BOS,johnsam01,Amir Johnson
BOS,mickejo01,Jordan Mickey
BOS,olynyke01,Kelly Olynyk
BOS,roziete01,Terry Rozier
BOS,smartma01,Marcus Smart
BOS,thomais02,Isaiah Thomas
BOS,youngja01,James Young
BOS,zellety01,Tyler Zeller
BRK,acyqu01,Quincy Acy
BRK,bennean01,Anthony Bennett
BRK,bogdabo02,Bojan Bogdanović
BRK,booketr01,Trevor Booker
BRK,dinwisp01,Spencer Dinwiddie
BRK,ferreyo01,Yogi Ferrell
BRK,foyera01,Randy Foye
BRK,goodwar01,Archie Goodwin
BRK,hamilju01,Justin Hamilton
BRK,harrijo01,Joe Harris
BRK,holliro01,Rondae Hollis-Jefferson
BRK,kilpase01,Sean Kilpatrick
BRK,leverca01,Caris LeVert
BRK,linje01,Jeremy Lin
BRK,lopezbr01,Brook Lopez
BRK,mcculch01,Chris McCullough
BRK,mcdankj01,K.J. McDaniels
BRK,nichoan01,Andrew Nicholson
BRK,scolalu01,Luis Scola
BRK,vasqugr01,Greivis Vásquez
BRK,whiteis01,Isaiah Whitehead
CHI,butleji01,Jimmy Butler
CHI,canaais01,Isaiah Canaan
CHI,cartemi01,Michael Carter-Williams
CHI,feliccr01,Cristiano Felício
