Team,Player_ID,Player_Name
CLE,battljo01,John Battle
CLE,benneel01,Elmer Bennett
CLE,brandte01,Terrell Brandon
CLE,cagemi01,Michael Cage
CLE,campbto01,Tony Campbell
CLE,coltest01,Steve Colter
CLE,dreilgr01,Greg Dreiling
CLE,ferryda01,Danny Ferry
CLE,hillty01,Tyrone Hill
CLE,madkige01,Gerald Madkins
CLE,millsch01,Chris Mills
CLE,phillbo01,Bobby Phills
CLE,pricema01,Mark Price
CLE,roberfr01,Fred Roberts
CLE,williho01,Hot Rod Williams
BOS,blackja01,James Blackwell
BOS,brownde01,Dee Brown
BOS,dawsoto01,Tony Dawson
BOS,douglsh01,Sherman Douglas
BOS,earlac01,Acie Earl
BOS,edwarbl01,Blue Edwards
BOS,ellispe01,Pervis Ellison
BOS,foxri01,Rick Fox
BOS,harrito01,Tony Harris
BOS,humphja01,Jay Humphries
BOS,mcdanxa01,Xavier McDaniel
BOS,minorgr01,Greg Minor
BOS,montrer01,Eric Montross
BOS,radjadi01,Dino Radja
BOS,stronde01,Derek Strong
BOS,wesleda01,David Wesley
BOS,wilkido01,Dominique Wilkins
NYK,anthogr01,Greg Anthony
NYK,bonnean01,Anthony Bonner
NYK,chrisdo01,Doug Christie
NYK,davishu01,Hubert Davis
NYK,ewingpa01,Patrick Ewing
NYK,grandro01,Ron Grandison
NYK,harpede01,Derek Harper
NYK,kitegr01,Greg Kite
NYK,masonan01,Anthony Mason
NYK,oaklech01,Charles Oakley
NYK,riverdo01,Doc Rivers
NYK,smithch01,Charles Smith
NYK,starkjo01,John Starks
NYK,wardch01,Charlie Ward
NYK,willihe01,Herb Williams
NYK,willimo01,Monty Williams
MIL,bakervi01,Vin Baker
MIL,barryjo01,Jon Barry
MIL,conloma01,Marty Conlon
MIL,dayto01,Todd Day
MIL,georgta01,Tate George
MIL,listeal01,Alton Lister
MIL,maybele01,Lee Mayberry
MIL,mobleer01,Eric Mobley
MIL,murdoer01,Eric Murdock
MIL,newmajo01,Johnny Newman
MIL,pincked01,Ed Pinckney
MIL,robingl01,Glenn Robinson
MIL,williaa01,Aaron Williams
MIL,youngda01,Danny Young
IND,davisan01,Antonio Davis
IND,davisda01,Dale Davis
IND,ferredu01,Duane Ferrell
IND,flemive01,Vern Fleming
IND,jacksma01,Mark Jackson
IND,kitegr01,Greg Kite
IND,mckeyde01,Derrick McKey
IND,millere01,Reggie Miller
IND,mitchsa01,Sam Mitchell
IND,scottby01,Byron Scott
IND,smitsri01,Rik Smits
IND,stricma01,Mark Strickland
IND,thompla01,LaSalle Thompson
IND,willijo02,John Williams
IND,workmha01,Haywoode Workman
DET,addisra01,Rafael Addison
DET,bondwa01,Walter Bond
DET,curlebi01,Bill Curley
DET,dawkijo01,Johnny Dawkins
DET,dumarjo01,Joe Dumars
DET,hillgr01,Grant Hill
DET,houstal01,Allan Houston
DET,hunteli01,Lindsey Hunter
DET,knighne01,Negele Knight
DET,leckner01,Eric Leckner
DET,maconma01,Mark Macon
DET,milleol01,Oliver Miller
DET,millste01,Terry Mills
